ip.proto,frame.len,src_ip,dst_ip,c2_label,is_SYN,is_ACK,is_RST,is_FIN,is_PSH,is_URG,time_since_last,delta_t_ratio,rolling_mean_delta_t_3,rolling_std_delta_t_3,rolling_mean_delta_t_5,rolling_std_delta_t_5,rolling_mean_delta_t_10,rolling_std_delta_t_10
17,342,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,342,0,0,0,0,0,0,0,0,0,0.880115,1.0,0.4400575,0.6223352847239982,0.4400575,0.6223352847239982,0.4400575,0.6223352847239982
17,342,0,0,0,0,0,0,0,0,0,2.010069,2.2838708577856304,0.9633946666666667,1.007618962381283,0.9633946666666667,1.007618962381283,0.9633946666666667,1.007618962381283
6,60,1,0,0,0,1,1,0,0,0,1.1792849999999997,0.5866888151600764,1.3564896666666666,0.5854486578217882,1.01736725,0.8297687275622346,1.01736725,0.8297687275622346
6,60,1,0,0,0,1,1,0,0,0,0.9619230000000005,0.815683231788754,1.3837590000000002,0.5531814547108388,1.0062784,0.7190284548623928,1.0062784,0.7190284548623928
6,60,1,0,0,0,1,1,0,0,0,0.4039699999999993,0.4199608492571641,0.8483926666666665,0.3999314813144043,1.0870723999999998,0.588546623860676,0.9058936666666666,0.688523131956993
6,55,0,1,0,0,1,0,0,0,0,0.1164070000000006,0.2881575364507285,0.49410000000000015,0.4299033487180582,0.9343308,0.7362503795110735,0.7931098571428572,0.6957691666073427
6,66,1,0,0,0,1,0,0,0,0,0.020024000000000264,0.17201714673516336,0.18013366666666672,0.19974846372959548,0.5363218000000001,0.5135530436339559,0.696474125,0.6997471404431823
6,66,0,1,1,1,0,0,0,0,0,0.45505199999999935,22.725329604474297,0.19716100000000006,0.2284802980193263,0.3914752,0.3685265698300462,0.6696494444444444,0.6594818984405696
6,66,1,0,1,1,1,0,0,0,0,0.0005050000000004218,0.0011097632798019183,0.158527,0.2569835686556635,0.19919159999999997,0.21553968387584616,0.602735,0.6567859328023942
