ip.proto,frame.len,src_ip,dst_ip,c2_label,is_SYN,is_ACK,is_RST,is_FIN,is_PSH,is_URG,time_since_last,delta_t_ratio,rolling_mean_delta_t_3,rolling_std_delta_t_3,rolling_mean_delta_t_5,rolling_std_delta_t_5,rolling_mean_delta_t_10,rolling_std_delta_t_10
17,342,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,157,0,1,0,0,1,0,0,1,0,5.05201,1.0,2.526005,3.57231052962225,2.526005,3.57231052962225,2.526005,3.57231052962225
6,227,1,0,0,0,1,0,0,1,0,0.027326000000000406,0.005408936245177742,1.6931120000000002,2.908923083955985,1.6931120000000002,2.908923083955985,1.6931120000000002,2.908923083955985
6,54,0,1,0,0,1,0,0,0,0,0.05025999999999975,1.8392739515479397,1.7098653333333333,2.8944048994197984,1.282399,2.513157976011589,1.282399,2.513157976011589
17,342,0,0,0,0,0,0,0,0,0,3.9483029999999992,78.55756068444128,1.3419629999999998,2.2571857785279876,1.8155797999999996,2.4816085683959503,1.8155797999999996,2.4816085683959503
6,66,0,1,1,1,0,0,0,0,0,6.940863000000002,1.757935751131563,3.6464753333333335,3.455202943558647,3.2037524000000004,3.08101470217302,2.669793666666667,3.0503758537961625
6,66,1,0,1,1,1,0,0,0,0,0.0006419999999991433,9.249570262359926e-05,3.6299360000000003,3.4810465441052365,2.1934788000000003,3.1508412656134714,2.288486285714286,2.9617159338071075
6,54,0,1,1,0,1,0,0,0,0,4.2000000000541604e-05,0.06542056074859448,2.3138490000000007,4.007111678896286,2.188022,3.1555507001031535,2.0024307500000003,2.858893960161055
6,212,0,1,1,0,1,0,0,1,0,0.0022549999999981196,53.690476189739066,0.0009796666666659348,0.0011444895531300945,2.178421,3.1637434708477086,1.780189,2.7561091959503803
6,60,1,0,1,0,1,0,0,0,0,0.00025499999999922807,0.11308203991106018,0.0008506666666659631,0.0012208424702737657,1.3888113999999998,3.1036913194169786,1.6021956,2.6587476529778793
6,1498,1,0,1,0,1,0,0,1,0,0.0030960000000028742,12.14117647063626,0.0018686666666667406,0.001459369842510461,0.0012579999999999814,0.0013450254637538213,1.6025052000000002,2.658540526334737
