ip.proto,frame.len,src_ip,dst_ip,c2_label,is_SYN,is_ACK,is_RST,is_FIN,is_PSH,is_URG,time_since_last,delta_t_ratio,rolling_mean_delta_t_3,rolling_std_delta_t_3,rolling_mean_delta_t_5,rolling_std_delta_t_5,rolling_mean_delta_t_10,rolling_std_delta_t_10
6,66,0,1,1,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,66,1,0,1,1,1,0,0,0,0,0.000646,1.0,0.000323,0.0004567909806465097,0.000323,0.0004567909806465097,0.000323,0.0004567909806465097
6,54,0,1,1,0,1,0,0,0,0,4.100000000000002e-05,0.06346749226006196,0.000229,0.00036171397540045366,0.000229,0.00036171397540045366,0.000229,0.00036171397540045366
6,149,0,1,1,0,1,0,0,1,0,0.0064789999999999995,158.02439024390236,0.0023886666666666665,0.0035552252155571424,0.0017915,0.0031389249221137265,0.0017915,0.0031389249221137265
6,60,1,0,1,0,1,0,0,0,0,0.00038000000000000013,0.0586510263929619,0.0023,0.003623087219485614,0.0015092,0.0027907174167228037,0.0015092,0.0027907174167228037
6,1412,1,0,1,0,1,0,0,1,0,0.058425000000000005,153.74999999999997,0.021761333333333337,0.03189777093047935,0.0131942,0.02542433329902674,0.010995166666666667,0.023369464361997404
6,155,0,1,1,0,1,0,0,1,0,0.0024300000000000016,0.04159178433889604,0.020411666666666668,0.0329364654802748,0.013551000000000002,0.025215873185356875,0.00977157142857143,0.021577538883888366
6,60,1,0,1,0,1,0,0,0,0,0.00032200000000000284,0.1325102880658447,0.020392333333333335,0.032954115317109234,0.013607200000000003,0.025178520562177596,0.008590375,0.020254360045167702
6,288,1,0,1,0,1,0,0,1,0,0.0007229999999999875,2.2453416149067738,0.0011583333333333307,0.0011193982014160544,0.012455999999999998,0.025711848718052155,0.0077162222222222215,0.019126852876112276
6,320,0,1,1,0,1,0,0,1,0,0.033389,46.18118948824423,0.011477999999999997,0.01897654186093979,0.0190578,0.02607124160257812,0.0102835,0.019776176392877928
6,60,1,0,1,0,1,0,0,0,0,0.042203000000000004,1.263979154811465,0.02543833333333333,0.021853087318119007,0.0158134,0.020323211761431807,0.0145038,0.021743119375512286
6,432,1,0,1,0,1,0,0,1,0,0.02643699999999999,0.6264246617539034,0.03400966666666667,0.007901304280518082,0.020614799999999996,0.01917426671870401,0.017082899999999998,0.021444279824958244
6,128,1,0,1,0,1,0,0,1,0,0.0010550000000000004,0.03990619207928286,0.023231666666666664,0.020760421415119044,0.020761399999999996,0.018982166651886716,0.0171843,0.021356962533978886
6,54,0,1,1,0,1,0,0,0,0,2.3000000000023002e-05,0.021800947867320373,0.00917166666666667,0.014961118184592132,0.020621400000000005,0.019168570390094297,0.0165387,0.02180931863549259
6,352,0,1,1,0,1,0,0,1,0,0.0015509999999999968,67.43478260862807,0.0008763333333333401,0.0007795109578023819,0.014253800000000002,0.019155111986099167,0.016655800000000002,0.021715861728750764
6,60,1,0,1,0,1,0,0,0,0,0.00025699999999997947,0.16569954867825917,0.0006103333333333331,0.0008230002025115217,0.005864599999999998,0.01151664564011588,0.010838999999999998,0.016432051356351635
6,144,1,0,1,0,1,0,0,1,0,0.023651000000000005,92.02723735409297,0.008486333333333327,0.013148914226404174,0.005307400000000001,0.010272688684078782,0.012961099999999998,0.016594891398995185
6,1152,0,1,1,0,1,0,0,1,0,0.0002620000000000122,0.011077755697434027,0.008056666666666665,0.013505089053143411,0.005148800000000004,0.010360500914531123,0.012955100000000002,0.0165999789722089
6,60,1,0,1,0,1,0,0,0,0,0.04283399999999998,163.48854961831293,0.022249,0.02132060034332991,0.013710999999999996,0.019083396225514998,0.0171662,0.01839632958439747
6,1120,1,0,1,0,1,0,0,1,0,0.566157,13.217467432413509,0.20308433333333334,0.3151498290596607,0.1266322,0.246348043586102,0.070443,0.17505217302976975
