ip.proto,frame.len,src_ip,dst_ip,c2_label,is_SYN,is_ACK,is_RST,is_FIN,is_PSH,is_URG,time_since_last,delta_t_ratio,rolling_mean_delta_t_3,rolling_std_delta_t_3,rolling_mean_delta_t_5,rolling_std_delta_t_5,rolling_mean_delta_t_10,rolling_std_delta_t_10
6,66,0,1,1,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,66,1,0,1,1,1,0,0,0,0,0.000557,1.0,0.0002785,0.0003938584771209,0.0002785,0.0003938584771209,0.0002785,0.0003938584771209
6,54,0,1,1,0,1,0,0,0,0,5.000000000000002e-05,0.0897666068222621,0.0002023333333333,0.0003081660807638,0.0002023333333333,0.0003081660807638,0.0002023333333333,0.0003081660807638
6,293,0,1,1,0,1,0,0,1,0,0.00073,14.599999999999994,0.0004456666666666,0.0003534067533782,0.00033425,0.0003645804666553,0.00033425,0.0003645804666553
6,60,1,0,1,0,1,0,0,0,0,0.0002149999999999,0.2945205479452053,0.0003316666666666,0.0003546947044055,0.0003104,0.0003202082135111,0.0003104,0.0003202082135111
6,1514,1,0,1,0,1,0,0,0,0,0.002614,12.158139534883729,0.0011863333333333,0.0012629253078996,0.0008332,0.0010312321271178,0.0006943333333333,0.000983084669124
6,95,1,0,1,0,1,0,0,1,0,0.0,0.0,0.000943,0.0014511157776001,0.0007218,0.0010965451199107,0.0005951428571428,0.0009350138017825
6,54,0,1,1,0,1,0,0,0,0,3.799999999999984e-05,1.0,0.000884,0.0014983444196846,0.0007194,0.0010983946467458,0.0005255,0.0008877831137968
6,118,0,1,1,0,1,0,0,1,0,0.001196,31.47368421052645,0.0004113333333333,0.0006798068353093,0.0008126,0.0011190941872782,0.0006,0.0008599949127756
6,728,0,1,1,0,1,0,0,1,0,0.0003109999999999,0.2600334448160532,0.0005149999999999,0.000605353615666,0.0008317999999999,0.0011070366750925,0.0005711,0.0008159451847057
6,60,1,0,1,0,1,0,0,0,0,0.000212,0.6816720257234746,0.000573,0.000541799778516,0.0003514,0.000488905716882,0.0005923,0.0008020946258945
6,431,1,0,1,0,1,0,0,1,0,0.004861,22.929245283018822,0.0017946666666666,0.002655983872943,0.0013235999999999,0.0020275145622165,0.0010227,0.0015690872824671
6,515,0,1,1,0,1,0,0,1,0,0.0028839999999999,0.5932935609956798,0.0026523333333333,0.002333142158835,0.0018928,0.0019751834598335,0.0013061,0.0016286821837165
6,66,0,1,1,1,0,0,0,0,0,0.008235,2.855409153952844,0.0053266666666666,0.0027057225159526,0.0033006,0.003370232380712,0.0020566,0.0027063446524376
6,66,1,0,1,1,1,0,0,0,0,0.000359,0.0435944140862175,0.0038259999999999,0.0040216124875477,0.0033102,0.0033596393705277,0.002071,0.0026958196856944
6,54,0,1,1,0,1,0,0,0,0,3.599999999999784e-05,0.1002785515320269,0.0028766666666666,0.0046432622511907,0.0032749999999999,0.0034008842232572,0.0018131999999999,0.0027606110756698
6,293,0,1,1,0,1,0,0,1,0,0.003863,107.30555555556204,0.0014193333333333,0.002122430760551,0.0030754,0.0033126726822914,0.0021995,0.0027489486980379
