frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,frame.len,tcp.flags
"1","0.000000000","192.168.1.3","192.168.2.15","6","66","0x0002"
"2","0.000653000","192.168.2.15","192.168.1.3","6","66","0x0012"
"3","0.000691000","192.168.1.3","192.168.2.15","6","54","0x0010"
"4","0.003554000","192.168.1.3","192.168.2.15","6","212","0x0018"
"5","0.003799000","192.168.2.15","192.168.1.3","6","60","0x0010"
"6","0.005666000","192.168.2.15","192.168.1.3","6","1499","0x0018"
"7","0.005705000","192.168.1.3","192.168.2.15","6","54","0x0010"
"8","0.043810000","192.168.1.3","192.168.2.15","6","147","0x0018"
"9","0.044736000","192.168.2.15","192.168.1.3","6","296","0x0018"
"10","0.044784000","192.168.1.3","192.168.2.15","6","54","0x0010"
"11","0.046585000","192.168.1.3","192.168.2.15","6","412","0x0018"
"12","0.091009000","192.168.2.15","192.168.1.3","6","60","0x0010"
"13","0.125020000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"14","0.125020000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"15","0.125020000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"16","0.125020000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"17","0.125020000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"18","0.125020000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"19","0.125020000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"20","0.125020000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"21","0.125020000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"22","0.125020000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"23","0.125125000","192.168.1.3","192.168.2.15","6","54","0x0010"
"24","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"25","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"26","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"27","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"28","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"29","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"30","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"31","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"32","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"33","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"34","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"35","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"36","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"37","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"38","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"39","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"40","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"41","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"42","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"43","0.125430000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"44","0.125516000","192.168.1.3","192.168.2.15","6","54","0x0010"
"45","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"46","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"47","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"48","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"49","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"50","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"51","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"52","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"53","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"54","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"55","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"56","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"57","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"58","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"59","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"60","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"61","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"62","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"63","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"64","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"65","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"66","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"67","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"68","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"69","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"70","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"71","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"72","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"73","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"74","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"75","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"76","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"77","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"78","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"79","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"80","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"81","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"82","0.125843000","192.168.2.15","192.168.1.3","6","712","0x0018"
"83","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"84","0.125843000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"85","0.126031000","192.168.1.3","192.168.2.15","6","54","0x0010"
"86","0.126564000","192.168.1.3","192.168.2.15","6","54","0x0010"
"87","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"88","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"89","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"90","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"91","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"92","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"93","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"94","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"95","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"96","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"97","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"98","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"99","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"100","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"101","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"102","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"103","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"104","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"105","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"106","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"107","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"108","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"109","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"110","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"111","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"112","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"113","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"114","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"115","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"116","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"117","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
